
2026-07-08 23:44:27.659461 HQ - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 1 , max_y =  0.915273038536067
2026-07-08 23:44:27.732097 HQ - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 1 , max_y =  0.915770995242114
2026-07-08 23:44:27.838808 HQ - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 0.2 , max_y =  0.734553166571025
2026-07-08 23:44:27.986097 HQ - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 0.2 , max_y =  0.717895761981282
2026-07-08 23:44:38.563435 HG - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 0.2 , max_y =  0.628165528702376
2026-07-08 23:44:38.601512 HG - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 1 , max_y =  0.533344664757325
2026-07-08 23:44:38.746854 HG - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 0.2 , max_y =  0.185615826596977
2026-07-08 23:44:38.800616 HG - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 1 , max_y =  0.91162821305329
2026-07-08 23:45:08.07093 P - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 0.2 , max_y =  0.583333333333333
2026-07-08 23:45:08.075448 P - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 0.2 , max_y =  0.583333333333333
2026-07-08 23:45:08.553522 P - DONE R = 10 , rC = 0.9 , eps = 0.1 , gamma = 1 , max_y =  0.875
2026-07-08 23:45:08.601513 P - DONE R = 10 , rC = 0.9 , eps = 1 , gamma = 1 , max_y =  0.875
